age,gender,location,tenure_months,monthly_charges,total_charges,contract_type,internet_service,phone_service,online_security,tech_support,payment_method,churn,satisfaction_score,support_tickets,last_contact_day,last_contact_month,last_contact_year,last_contact_week,last_contact_week_of_year,valid_email,email_domain
34.0,female,other,35.71930962217916,40.957226522238216,1462.963855413555,monthly,no internet,no,no,yes,electronic check,no,8.0,3.0,,,,,,1,gmail.com
59.0,female,other,0.296729438733317,86.0604681027135,25.536674397244706,1 year,fiber optic,yes,yes,no,electronic check,yes,5.0,4.0,3.0,1.0,2024.0,2.0,1,0,invalid
49.0,other,other,59.78023381654582,43.66555821225302,2610.3372796584777,monthly,no internet,yes,no,no internet service,mailed check,no,9.0,0.0,28.0,8.0,2023.0,0.0,35,1,gmail.com
25.0,,other,69.57519286739343,54.22506874083939,3772.719615891567,1 year,dsl,no,yes,yes,mailed check,no,6.0,0.0,5.0,5.0,2024.0,6.0,18,0,invalid
53.0,male,other,2.320422320156198,93.224374908938,216.31992032130918,monthly,fiber optic,yes,yes,no,electronic check,yes,7.0,3.0,,,,,,0,invalid
54.0,female,other,27.43740253740708,76.01277841777403,2085.5931994351954,monthly,fiber optic,yes,no,no internet service,mailed check,yes,6.0,1.0,,,,,,0,invalid
32.0,female,other,30.189684854016416,98.119443058018,2962.1950639731726,monthly,fiber optic,,yes,no,electronic check,yes,4.0,3.0,,,,,,1,hotmail.com
32.0,male,mumbai,19.428913730120104,101.8511161611216,1978.856549210873,2 year,dsl,yes,no,yes,credit card (automatic),no,5.0,1.0,,,,,,0,invalid
27.0,,other,19.46707638538615,23.31017691646368,453.7809945896634,monthly,no internet,no,no,no internet service,mailed check,yes,8.0,1.0,1.0,1.0,2024.0,0.0,1,1,gmail.com
29.0,other,chennai,4.84430289183197,63.77673862433442,308.95383934947495,monthly,fiber optic,yes,yes,no,mailed check,yes,6.0,2.0,18.0,12.0,2023.0,0.0,51,1,hotmail.com
76.0,,,19.20489817759632,19.135795317221174,367.5010006145571,monthly,dsl,yes,no,no internet service,credit card (automatic),yes,7.0,1.0,11.0,8.0,2023.0,4.0,32,1,yahoo.com
28.0,other,delhi,3.188407711591362,58.262398744897226,185.7642814540412,1 year,fiber optic,,no,yes,mailed check,yes,3.0,2.0,29.0,6.0,2023.0,3.0,26,0,invalid
39.0,male,other,12.448554853525373,58.07027433732382,722.8909954474424,1 year,dsl,yes,no,yes,credit card (automatic),no,5.0,1.0,6.0,4.0,2023.0,3.0,14,0,invalid
